Country,Model,MAE,RMSE,N_pred
Germany,Naive,0.3259244732992911,0.4122732071869008,3
Germany,GradientBoosting,0.45717818506245694,0.5189523686533841,3
Germany,RandomForest,0.5667372573601175,0.6345223545325666,3
Germany,ElasticNet,0.6783928288454656,0.7552129219904609,3
Germany,VAR(p=? ),,,0
Japan,Naive,0.09378945774472865,0.11234544479888864,3
Japan,GradientBoosting,0.09526416755885529,0.13409646616590398,3
Japan,RandomForest,0.14600083283261253,0.1815793939057981,3
Japan,ElasticNet,0.30013303054362456,0.3204066592886581,3
Japan,VAR(p=? ),,,0
Spain,Naive,0.3456551537698969,0.4577129645016652,3
Spain,ElasticNet,0.5442525523639663,0.5836737488115441,3
Spain,GradientBoosting,1.116220370455377,1.1451833171691332,3
Spain,RandomForest,1.120501145314486,1.1317557994597445,3
Spain,VAR(p=? ),,,0
USA,RandomForest,0.700570145771709,0.820944785401186,3
USA,GradientBoosting,0.7289131789169582,0.8866377938614496,3
USA,ElasticNet,0.7434225400562485,0.8761599466002975,3
USA,Naive,0.8417514108542358,0.874864984350118,3
USA,VAR(p=? ),,,0
United Kingdom,Naive,0.37976851956493274,0.41527666038827105,3
United Kingdom,ElasticNet,0.7747129999501499,0.8685391442992992,3
United Kingdom,RandomForest,0.7813957887483386,0.8686796072831102,3
United Kingdom,GradientBoosting,0.8163216985734554,0.9764485132986357,3
United Kingdom,VAR(p=? ),,,0
