Country,Model,MAE,RMSE,N_pred
Germany,Naive,0.3259244732992911,0.4122732071869008,3
Germany,GradientBoosting,0.4571781850624567,0.5189523686533839,3
Germany,RandomForest,0.5658278650194485,0.6333670442891949,3
Germany,ElasticNet,0.6783928288454631,0.7552129219904571,3
Germany,VAR(p=? ),,,0
Japan,GradientBoosting,0.08726897640215643,0.11990371429466509,3
Japan,Naive,0.09378945774472865,0.11234544479888864,3
Japan,RandomForest,0.14710829067395723,0.18259525687295086,3
Japan,ElasticNet,0.30013303054362467,0.3204066592886581,3
Japan,VAR(p=? ),,,0
Spain,Naive,0.3456551537698969,0.4577129645016652,3
Spain,ElasticNet,0.5442525523639642,0.5836737488115421,3
Spain,GradientBoosting,1.1162203704553768,1.1451833171691328,3
Spain,RandomForest,1.123073009977178,1.134451892235526,3
Spain,VAR(p=? ),,,0
USA,RandomForest,0.700570145771709,0.820944785401186,3
USA,GradientBoosting,0.7289131789169584,0.8866377938614495,3
USA,ElasticNet,0.7434225400562485,0.8761599466002975,3
USA,Naive,0.8417514108542358,0.874864984350118,3
USA,VAR(p=? ),,,0
United Kingdom,Naive,0.37976851956493274,0.41527666038827105,3
United Kingdom,ElasticNet,0.7747129999501499,0.8685391442992992,3
United Kingdom,RandomForest,0.7784677298751349,0.862391916503589,3
United Kingdom,GradientBoosting,0.816321698573455,0.9764485132986356,3
United Kingdom,VAR(p=? ),,,0
